titleid,rating,rate_number
tt0027545,6.4,5211
tt0027630,7.2,3703
tt0027652,7.9,10423
tt0027698,6.7,6569
tt0027884,7.9,6536
tt0027977,8.5,196999
tt0027996,7.9,18447
tt0028010,8,19147
tt0028096,7.6,11473
tt0028212,7.1,13480
tt0028216,7.2,4595
tt0028231,6.5,7259
tt0028333,7.6,11318
tt0028358,6.7,6511
tt0028445,7.7,5230
tt0028597,7.7,16500
tt0028683,7.5,6811
tt0028691,8,8080
tt0028772,7.6,12285
tt0028773,7.3,5649
tt0028944,7.5,4218
tt0028950,8.1,31527
tt0028988,7.3,3821
tt0029146,7.2,6433
tt0029162,7.7,11337
tt0029192,8.2,6567
tt0029217,7.2,3002
tt0029284,7.4,8538
tt0029322,6.9,5548
tt0029339,7.9,3179
tt0029442,7.7,3928
tt0029453,7.7,5796
tt0029546,7.5,6085
tt0029583,7.6,168175
tt0029604,7.8,7134
tt0029606,7.3,7919
tt0029608,7.4,4184
tt0029682,7.3,6267
tt0029747,7.6,7137
tt0029808,7.4,5089
tt0029811,6.9,7903
tt0029843,7.9,44581
tt0029850,7.6,9810
tt0029870,7.9,18633
tt0029923,7.6,3175
tt0029942,7.3,4822
tt0029947,7.9,51781
tt0029957,7.6,6263
tt0029971,7.1,3030
tt0029992,7.5,5542
tt0030241,7.8,13122
tt0030287,7.5,10929
tt0030341,7.8,43608
tt0030522,7.8,4012
tt0030523,7.7,3358
tt0030637,7.8,7278
tt0030643,7.8,7533
tt0030696,6.7,4467
tt0030993,7.9,21561
tt0031022,7.4,5799
tt0031047,7.5,5946
tt0031060,6.9,5256
tt0031067,7.6,3338
tt0031088,7.7,5134
tt0031210,7.6,9142
tt0031225,7.7,9316
tt0031235,7.1,4253
tt0031252,7.1,5166
tt0031322,6.9,4310
tt0031334,7.5,5161
tt0031359,7.3,3393
tt0031381,8.1,268974
tt0031385,7.9,9120
tt0031397,6.7,3545
tt0031398,7.4,10316
tt0031448,7.5,8732
tt0031455,7.8,9670
tt0031505,6.3,8209
tt0031507,7,3678
tt0031514,7.8,6074
tt0031580,7.2,5231
tt0031593,7.3,3980
tt0031602,6.4,3004
tt0031647,7.9,4127
tt0031679,8.1,99936
tt0031725,7.9,17576
tt0031742,7.9,5111
tt0031762,7.7,11310
tt0031826,7.1,4652
tt0031867,8,11632
tt0031885,8.1,24715
tt0031951,7.1,8273
tt0031971,7.9,39171
tt0032138,8,356815
tt0032143,7.8,11757
tt0032145,7.6,15160
tt0032155,7.6,6871
tt0032194,7.5,4003
tt0032234,7.2,6317
tt0032339,7.4,3279
tt0032455,7.8,83046
tt0032484,7.5,16839
tt0032536,6.9,4842
tt0032551,8,82102
tt0032553,8.5,185931
tt0032554,7.4,3112
tt0032599,7.9,49410
tt0032635,6.5,3096
tt0032701,7.6,10614
tt0032728,7,3510
tt0032762,7.5,8820
tt0032811,7.8,4165
tt0032818,6.1,3150
tt0032842,7.2,4122
tt0032851,7.1,3061
tt0032904,7.9,59469
tt0032910,7.4,119605
tt0032943,7.4,6953
tt0032976,8.1,113075
tt0032981,7.6,4035
tt0032993,6.8,3357
tt0033028,7.7,8490
tt0033045,8.1,24885
tt0033107,6.9,3274
tt0033149,7.3,6577
tt0033152,7.5,10983
tt0033238,7.8,8259
tt0033253,7.4,4616
tt0033373,7.8,9811
tt0033388,6.7,4466
tt0033436,7.1,3746
tt0033467,8.3,370787
tt0033532,7.7,4207
tt0033533,7.7,3255
tt0033553,6.8,7751
tt0033563,7.2,110837
tt0033627,7.3,5329
tt0033677,7.1,3177
tt0033712,7.6,5455
tt0033717,7.5,13909
tt0033723,7.5,3161
tt0033729,7.7,19552
tt0033740,7.2,3408
tt0033804,7.8,17630
tt0033836,8,9418
tt0033870,8,142430
tt0033873,7.3,4472
tt0033874,7.6,6159
tt0033891,7.7,11163
tt0033922,6.4,8578
tt0034012,7.1,5761
tt0034167,7.7,14320
tt0034172,7.3,4918
tt0034240,8,22181
tt0034248,7.4,29644
tt0034272,7.2,3678
tt0034277,7.2,5402
tt0034398,7.3,21554
tt0034428,6.8,3986
tt0034449,7.1,3461
tt0034492,7.3,121226
tt0034522,6.9,3732
tt0034583,8.5,486310
tt0034587,7.3,17968
tt0034742,6.8,3259
tt0034778,7.6,3000
tt0034786,6.2,5047
tt0034798,7.1,5119
tt0034862,7.5,11881
tt0034881,7.2,6149
tt0034890,7.4,3728
tt0034891,7.2,4726
tt0034922,6.6,3607
tt0034928,6.7,3528
tt0034946,7.5,3665
tt0035015,7.7,20643
tt0035019,7.5,5595
tt0035093,7.6,14549
tt0035140,8,13763
tt0035160,7.7,6209
tt0035169,7.5,9974
tt0035211,7.7,9204
tt0035238,8,6455
tt0035262,7.1,4743
tt0035279,7.2,21476
tt0035317,6.6,4969
tt0035318,6.6,3796
tt0035417,7.5,6689
tt0035423,6.4,75125
tt0035432,7.5,7541
tt0035446,8.3,23851
tt0035567,7.2,8424
tt0035575,7.7,13120
tt0035608,7,3263
tt0035753,7.9,8026
tt0035794,7.5,3699
tt0035799,7.1,4323
tt0035884,7.3,4576
tt0035896,6.9,7782
tt0035899,6.5,7105
tt0035966,7.5,4207
tt0035979,7.5,8949
tt0036027,7.1,10043
tt0036098,7.1,4616
tt0036104,6.9,4206
tt0036112,8.1,12034
tt0036154,7.9,9769
tt0036172,7.7,5478
tt0036241,5.5,3657
tt0036244,8,19426
tt0036260,7.2,3882
tt0036261,6.5,5860
tt0036323,7.5,7452
tt0036326,6.2,4317
tt0036341,6.8,5170
tt0036342,7.9,54963
tt0036348,7,3830
tt0036349,6.8,3503
tt0036376,6.1,4144
tt0036377,7.6,5619
tt0036400,6.8,3855
tt0036506,8.2,8410
tt0036515,7.3,3551
tt0036613,8,62277
tt0036695,7.5,4596
tt0036723,6.8,4323
tt0036733,6.9,5282
tt0036775,8.3,131549
tt0036818,7.8,5404
tt0036824,6.6,3071
tt0036855,7.8,21701
tt0036868,8,54078
tt0036872,7.1,9494
tt0036891,7.7,3968
tt0036910,7.1,5330
tt0036931,6.3,5531
tt0036969,7.5,7311
tt0037008,8,39311
tt0037017,7.7,24737
tt0037059,7.6,18588
tt0037075,7.2,6125
tt0037077,7.6,6319
tt0037094,7.7,4969
tt0037101,7.6,11058
tt0037120,7.3,6004
tt0037166,6.9,3673
tt0037168,7.2,3555
tt0037248,7.3,4393
tt0037280,7.5,4015
tt0037303,7.1,3778
tt0037365,7.4,4552
tt0037366,7.3,5007
tt0037382,7.9,28609
tt0037415,7.3,8912
tt0037469,7.7,12367
tt0037514,7.1,7344
tt0037515,7.5,11558
tt0037522,6.7,3404
tt0037536,7.3,6498
tt0037549,7.3,7597
tt0037558,8,32515
tt0037595,7.4,6989
tt0037630,7.3,3525
tt0037635,7.7,9848
tt0037638,7.4,13222
tt0037674,8.4,17045
tt0037691,7.1,4286
tt0037793,5.8,4390
tt0037794,7.3,4029
tt0037800,7.5,7254
tt0037820,6.6,3694
tt0037824,7.8,8364
tt0037865,7.6,9882
tt0037884,7.9,31134
tt0037913,8,20753
tt0037954,7.3,4132
tt0037988,7.5,10857
tt0038008,6.9,3035
tt0038057,7.8,12857
tt0038109,7.6,40032
tt0038116,7,3356
tt0038160,7.2,7065
tt0038166,6.5,10809
tt0038182,6.7,3050
tt0038190,8,6614
tt0038235,7,3139
tt0038259,6.7,4922
tt0038343,6.8,3305
tt0038348,7.9,22683
tt0038355,7.9,74676
tt0038363,7.1,5013
tt0038369,7.2,6919
tt0038453,7.2,3708
tt0038455,7.1,3717
tt0038492,7,3370
tt0038494,6.9,4961
tt0038499,6.8,7551
tt0038559,7.7,25458
tt0038574,7.8,20615
tt0038577,7.5,3869
tt0038589,7.1,3228
tt0038622,7.4,3590
tt0038650,8.6,365391
tt0038669,7.8,17487
tt0038718,6.3,3276
tt0038733,8.1,17637
tt0038762,7.8,19815
tt0038777,7,5575
tt0038787,7.9,86512
tt0038823,7.7,6504
tt0038854,7.5,17133
tt0038873,7.4,4971
tt0038890,8.1,20971
tt0038913,8,5768
tt0038969,7.1,10315
tt0038975,7.4,8271
tt0038988,7.4,7399
tt0038991,7.4,20180
tt0039017,6.9,4914
tt0039111,7.2,5002
tt0039152,6.9,4806
tt0039169,7.3,7329
tt0039190,7.6,12743
tt0039192,7.9,19642
tt0039204,7.6,3980
tt0039208,7.2,3758
tt0039211,7.2,4033
tt0039220,7.4,4837
tt0039224,7.6,8040
tt0039251,8.2,3617
tt0039286,7.3,6748
tt0039302,7.5,16319
tt0039305,7.1,6005
tt0039404,6.6,6028
tt0039416,7.2,13656
tt0039417,7.9,9092
tt0039420,7.9,14468
tt0039536,7.5,6538
tt0039545,6.6,4652
tt0039566,7.2,4258
tt0039628,7.9,37228
tt0039631,7.9,14430
tt0039661,7.8,6701
tt0039677,7.7,8146
tt0039689,8,29705
tt0039694,6.5,9341
tt0039725,7.2,4214
tt0039739,7.7,4409
tt0039808,7,5256
tt0039822,7.6,3541
tt0039853,7.1,4090
tt0039926,6.9,3132
tt0040064,7.1,7613
tt0040068,7.5,13451
tt0040160,7.7,7203
tt0040202,7.4,7374
tt0040308,7.4,7881
tt0040338,7.7,7166
tt0040366,7.3,5215
tt0040367,7.4,6243
tt0040369,7.5,15199
tt0040416,7.7,14137
tt0040427,7.2,4402
tt0040458,7.9,4714
tt0040495,7.7,3934
tt0040497,7.3,6907
tt0040506,7.8,34654
tt0040522,8.3,131595
tt0040525,7.6,24004
tt0040536,8,10167
tt0040558,7.5,5827
tt0040580,6.4,4162
tt0040613,7.3,9542
tt0040636,7.6,10982
tt0040662,7.8,10454
tt0040679,6.8,3361
tt0040694,7,4033
tt0040705,7.7,5757
tt0040723,7.3,3707
tt0040724,7.8,25977
tt0040725,8.2,25810
tt0040737,7.7,3253
tt0040746,8,117776
tt0040765,7.8,3491
tt0040766,6.8,4007
tt0040806,7.6,6146
tt0040823,7.4,8861
tt0040834,7.2,3215
tt0040866,7.8,3905
tt0040872,7.5,6124
tt0040876,7.2,5372
tt0040897,8.2,105722
tt0040919,7.6,4315
tt0040978,7.5,3977
tt0040979,7.7,8965
tt0041085,6.9,3382
tt0041088,7.5,4091
tt0041090,7.5,18174
tt0041094,7,11149
tt0041098,6.3,3247
tt0041113,7.5,12193
tt0041154,8.3,12497
tt0041163,7.4,6179
tt0041178,7,3812
tt0041239,7.4,3307
tt0041268,7.5,6453
tt0041386,7.1,8681
tt0041452,8.2,12193
tt0041473,7.2,3817
tt0041498,7,7024
tt0041507,7.2,3090
tt0041546,8,32424
tt0041587,7.8,7775
tt0041594,7.3,5787
tt0041650,7,4232
tt0041699,7.9,13552
tt0041716,7.4,14844
tt0041719,8,9394
tt0041737,7.1,3703
tt0041786,7.1,3734
tt0041838,6.8,6416
tt0041841,7.1,8813
tt0041859,7.9,7044
tt0041866,7.3,14548
tt0041931,7.3,5261
tt0041958,7.6,4858
tt0041959,8.1,148213
tt0041968,7.3,3197
tt0041996,7.7,11583
tt0042004,6.2,5764
tt0042039,6.8,3373
tt0042040,7.2,4576
tt0042041,8.2,25483
tt0042046,7.4,3144
tt0042114,8.6,4299
tt0042192,8.2,111786
tt0042200,6.9,4067
tt0042208,7.9,22161
tt0042276,7.6,9238
tt0042286,7.2,6954
tt0042296,7.7,3206
tt0042327,7,4332
tt0042332,7.3,134703
tt0042367,7.5,3384
tt0042369,7.3,9900
tt0042384,6.3,3653
tt0042393,6.3,3401
tt0042436,7.1,3338
tt0042451,7.2,9373
tt0042464,7,3138
tt0042530,7.6,10387
tt0042531,7.7,8522
tt0042546,7.9,50631
tt0042593,8,23058
tt0042619,8,8658
tt0042646,6.8,5316
tt0042727,7.1,3927
tt0042788,8,10838
tt0042792,7.4,3962
tt0042804,8.3,16508
tt0042832,7.3,6467
tt0042871,8.3,4571
tt0042876,8.2,138973
tt0042895,7.2,12953
tt0042906,7.6,4468
tt0042958,7.2,3067
tt0042994,7.1,11586
tt0043012,7.2,3340
tt0043014,8.4,184074
tt0043067,6.9,6165
tt0043117,7.1,3818
tt0043132,7.6,7042
tt0043137,7.7,15410
tt0043208,8.4,20918
tt0043255,6.8,4425
tt0043265,7.8,67504
tt0043274,7.4,119091
tt0043278,7.2,27913
tt0043306,8,3177
tt0043313,8.2,6393
tt0043332,7.8,3615
tt0043338,8.2,25631
tt0043362,8.2,4028
tt0043379,7.4,5699
tt0043386,7.7,4437
tt0043456,7.7,73197
tt0043461,6.9,5234
tt0043465,7.6,6426
tt0043503,7.3,3923
tt0043526,6.6,3157
tt0043547,6.5,4173
tt0043548,5.7,3396
tt0043614,7.3,4120
tt0043643,7.1,3592
tt0043686,8.1,10167
tt0043809,7.7,5602
tt0043859,7.2,3037
tt0043879,7.3,5740
tt0043915,7.4,5281
tt0043918,7.7,3686
tt0043924,7.8,18482
tt0043949,7.2,12506
tt0043953,8.3,3353
tt0043961,7.2,3782
tt0043972,7.5,5150
tt0043983,6.7,4401
tt0044000,7.2,4531
tt0044008,8.1,18234
tt0044030,6.9,4203
tt0044060,7.6,4590
tt0044072,7.5,3405
tt0044079,8,116156
tt0044081,8,93047
tt0044121,7.2,23519
tt0044207,6.7,6415
tt0044314,7.7,3917
tt0044357,7.3,6242
tt0044386,6.8,3195
tt0044391,7.8,11908
tt0044413,7.3,7151
tt0044419,7,3608
tt0044502,7.1,5158
tt0044509,7.5,4107
tt0044517,7.3,5294
tt0044557,6.9,5402
tt0044672,6.6,11853
tt0044685,6.9,3147
tt0044706,7.9,91828
tt0044741,8.3,60348
tt0044744,7.5,4799
tt0044760,6.8,7617
tt0044789,7.4,5310
tt0044829,7.6,11658
tt0044837,8.1,16486
tt0044876,7.3,8144
tt0044916,7,12052
tt0044926,7.1,4609
tt0044953,7.4,9290
tt0044954,7.7,6463
tt0045012,7,4765
tt0045034,7.8,3844
tt0045053,7,3056
tt0045061,7.8,32359
tt0045062,8.3,3729
tt0045070,7,3574
tt0045094,6.5,4208
tt0045112,8.2,5459
tt0045125,7.5,5200
tt0045152,8.3,201974
tt0045162,6.2,4350
tt0045205,7.5,4503
tt0045251,7.6,6946
tt0045274,8.2,20664
tt0045296,7.4,9513
tt0045361,8,4800
tt0045464,6.8,3503
tt0045469,6.6,3808
tt0045537,7.5,9214
tt0045546,6.7,6313
tt0045554,8,3366
tt0045555,8,21284
tt0045564,6.9,4215
tt0045591,7.3,7880
tt0045659,7.5,3725
tt0045679,6.8,4311
tt0045708,8.6,7546
tt0045709,8.1,5338
tt0045758,5.5,8374
tt0045793,7.6,40061
tt0045810,7.2,28686
tt0045826,4.2,7610
tt0045848,7.6,5437
tt0045877,6.9,6113
tt0045883,7.1,8580
tt0045888,7.1,14883
tt0045891,6.9,19150
tt0045897,7.3,17590
tt0045917,6.4,6622
tt0045920,6.5,7790
tt0045943,7.3,9612
tt0045963,7.1,5207
tt0045966,6.3,3024
tt0046000,7.4,3014
tt0046022,8,8066
tt0046072,6.9,3031
tt0046085,6.7,6978
tt0046126,7,13656
tt0046183,7.3,115600
tt0046187,7.7,11680
tt0046247,6.7,8456
tt0046250,8,119349
tt0046268,8.1,49489
tt0046303,7.6,34131
tt0046345,7.6,11200
tt0046359,8,48652
tt0046414,6.5,7567
tt0046435,7,5917
tt0046438,8.2,45409
tt0046451,7.8,5991
tt0046478,8.3,18456
tt0046487,7.5,15388
tt0046511,7.4,7769
tt0046521,7.9,13287
tt0046534,7.1,30269
tt0046672,7.2,26523
tt0046719,6.4,3617
tt0046754,7,8972
tt0046806,6.7,4926
tt0046807,6.8,7021
tt0046808,6.9,3114
tt0046816,7.7,23062
tt0046828,6.8,4156
tt0046851,8,3250
tt0046874,7.3,4981
tt0046876,7,23619
tt0046889,7.4,8927
tt0046899,6.6,3121
tt0046911,8,57884
tt0046912,8.2,143793
tt0046949,6.6,3280
tt0046963,7.4,3276
tt0046998,7.3,3407
tt0047030,7.3,7394
tt0047034,7.6,26262
tt0047086,6.8,5084
tt0047094,7.7,6008
tt0047101,7.2,3801
tt0047123,7.2,3078
tt0047136,7.7,14209
tt0047162,6.2,3092
tt0047191,7,3903
tt0047203,7.1,5413
tt0047264,6.8,3341
tt0047296,8.1,131270
tt0047396,8.5,408944
tt0047422,6.6,9621
tt0047437,7.7,54646
tt0047444,7.5,6979
tt0047445,8.4,12904
tt0047469,7.5,5527
tt0047472,7.4,19809
tt0047478,8.6,291157
tt0047522,7.6,14404
tt0047528,8,53966
tt0047542,6.8,5576
tt0047573,7.2,18389
tt0047574,6.5,5091
tt0047577,5.9,8239
tt0047630,6.7,3132
tt0047647,7.1,8300
tt0047673,7.6,28659
tt0047677,6.8,13618
tt0047708,8.5,13456
tt0047736,7.9,4586
tt0047795,6.4,4799
tt0047811,7.6,12099
tt0047834,7.2,13774
tt0047840,6.6,3204
tt0047849,7.7,17715
tt0047876,7.5,4430
tt0047878,7.4,5880
tt0047885,7.4,7578
tt0047892,7.7,9633
tt0047898,4.2,6177
tt0047969,6.7,3230
tt0047977,7,3072
tt0047985,7.5,8147
tt0048021,8.2,23452
tt0048028,7.9,37575
tt0048037,7.8,4302
tt0048055,7.2,6007
tt0048127,5.9,4637
tt0048140,7.2,14362
tt0048198,7.3,3738
tt0048215,6,4477
tt0048233,7.1,3171
tt0048254,6.7,19481
tt0048261,7.6,17079
tt0048280,7.3,112140
tt0048281,7.7,24513
tt0048283,6.6,3387
tt0048308,7.3,4473
tt0048316,6.5,4094
tt0048317,7.1,3453
tt0048342,7.4,8704
tt0048347,7.4,8886
tt0048356,7.7,19655
tt0048380,7.7,14498
tt0048387,6.7,3000
tt0048393,7.3,7026
tt0048424,8,76523
tt0048434,8.6,15852
tt0048445,7,10490
tt0048449,8.4,4985
tt0048452,8.4,12543
tt0048473,8.6,19884
tt0048491,7.1,7412
tt0048545,7.7,77294
tt0048554,5.7,4969
tt0048563,7.1,3223
tt0048579,7.4,5074
tt0048605,7.1,31458
tt0048624,7,7109
tt0048641,7.8,11310
tt0048673,7.2,7079
tt0048696,6.5,7956
tt0048728,7.4,57992
tt0048729,7.2,4543
tt0048750,7.1,30992
tt0048752,8,6702
tt0048801,7.5,7396
tt0048933,7.9,3302
tt0048937,5.8,3120
tt0048947,7.1,7056
tt0048956,8.3,9914
tt0048960,6.8,22622
tt0048966,7.4,4351
tt0048973,7.4,6272
tt0048977,7.5,11906
tt0048980,8.2,15283
tt0048990,6.6,3575
tt0049006,7,4174
tt0049010,7.6,6227
tt0049012,8.1,5009
tt0049038,6.5,10026
tt0049055,6.6,5393
tt0049096,7.9,10643
tt0049169,6.4,6476
tt0049189,6.3,6853
tt0049223,7.6,42122
tt0049233,7.4,5914
tt0049261,7.7,31733
tt0049291,7.6,6441
tt0049314,7,12789
tt0049366,7.7,41765
tt0049406,8,75150
tt0049408,7.4,22489
tt0049452,6.2,3332
tt0049456,7.4,9657
tt0049470,7.5,52973
tt0049471,7.4,3907
tt0049474,7.1,3049
tt0049513,7.3,15869
tt0049646,6.7,5016
tt0049653,7,3201
tt0049674,7.4,3799
tt0049710,7.7,4992
tt0049730,7.9,74478
tt0049743,7.4,4190
tt0049762,6.7,5475
tt0049778,7.5,6880
tt0049782,6.3,4032
tt0049833,7.8,58461
tt0049875,6.8,3873
tt0049877,7.4,3091
tt0049902,8.3,16469
tt0049934,6.8,8360
tt0049949,7,4981
tt0049966,7.4,9243
tt0050032,7.5,6046
tt0050051,8.1,4373
tt0050083,8.9,614695
tt0050084,6.4,5911
tt0050086,7.6,16994
tt0050095,6.4,3208
tt0050105,7.5,26074
tt0050188,8.1,7842
tt0050212,8.1,189478
tt0050280,7.1,8526
tt0050306,6.8,3864
tt0050307,7.3,7231
tt0050330,7.4,4387
tt0050356,7.5,9077
tt0050371,8.2,12388
tt0050393,6.2,3195
tt0050407,7,4202
tt0050419,7,24551
tt0050458,7.7,3935
tt0050468,7.2,12742
tt0050490,7.3,7316
tt0050539,7.6,14639
tt0050556,6.5,7207
tt0050585,7.9,6052
tt0050598,7.1,6649
tt0050613,8.1,40822
tt0050634,8.3,13251
tt0050658,7.2,12736
tt0050706,7.8,17104
tt0050763,6.7,3241
tt0050766,7.5,11009
tt0050782,7.8,6479
tt0050783,8.1,39446
tt0050798,7.3,10729
tt0050815,6.7,4317
tt0050825,8.4,161209
tt0050839,7.2,4857
tt0050861,6.5,7044
tt0050870,8.5,4749
tt0050873,6.9,3098
tt0050882,6.4,3193
tt0050894,6.8,4182
tt0050933,7.1,5513
tt0050972,6.8,3333
tt0050974,6.6,4420
tt0050976,8.2,147235
tt0050986,8.2,86310
tt0051003,7.2,6821
tt0051036,8.1,24983
tt0051047,7.3,3979
tt0051077,7.2,6771
tt0051087,7.3,4532
tt0051189,8.3,8966
tt0051198,6.7,3473
tt0051201,8.4,95878
tt0051207,7.4,23414
tt0051337,7.1,10775
tt0051365,7.7,8003
tt0051378,8,18765
tt0051380,5.1,4382
tt0051383,7.9,9648
tt0051406,6.9,8856
tt0051411,7.9,14261
tt0051418,6.4,20950
tt0051429,6.9,4023
tt0051433,7,4295
tt0051459,8,41547
tt0051525,7.6,12204
tt0051554,7.3,19122
tt0051588,7.9,4043
tt0051622,7.1,19312
tt0051658,6.7,18091
tt0051720,7.9,3254
tt0051739,7.1,3081
tt0051744,6.9,20896
tt0051745,6.6,6947
tt0051758,7.4,5316
tt0051773,6.8,7041
tt0051776,7.3,4269
tt0051786,6.1,4174
tt0051790,7.9,6240
tt0051792,8,4600
tt0051808,8.1,30534
tt0051818,7,4068
tt0051849,6.5,3567
tt0051850,7.9,3646
tt0051878,7.4,9140
tt0051879,7.1,3033
tt0051899,7.2,6068
tt0051983,7.9,4682
tt0051994,7.9,12542
tt0052005,7.6,3425
tt0052027,7,6559
tt0052077,4,34249
tt0052080,7.9,9498
tt0052151,7.3,9373
tt0052182,7.4,6059
tt0052216,8,8347
tt0052218,7.4,5285
tt0052225,6.8,7516
tt0052278,7.1,3843
tt0052311,8,93791
tt0052320,5,3115
tt0052357,8.3,329473
tt0052365,7.1,11641
tt0052415,7.2,6809
tt0052451,7.3,7234
tt0052507,7.7,3235
tt0052520,9,63837
tt0052556,7.2,4346
tt0052561,8,55130
tt0052572,8.5,10170
tt0052600,8.2,8777
tt0052602,6.1,3751
tt0052618,8.1,205043
tt0052646,4.4,5742
tt0052654,8,6477
tt0052655,6.7,5297
tt0052700,7.4,5377
tt0052722,7.2,6321
tt0052738,7.4,11200
tt0052832,7.2,4967
tt0052861,8.3,3365
